Наименование объявления,Город,Район,Количество станций метро рядом,Самый длогий путь до метро,Самый короткий путь до метро,Расттояние до центра,Площадь квартиры,Цена квартиры
"Продажа квартиры-студии 26 м², 12/22 этаж",Москва,САО,3,30,16,13.5,26.0,10200000
"Продажа 2-комнатной квартиры 51 м², 13/24 этаж",Москва,СВАО,3,27,11,12.1,51.0,15113952
"Продажа 3-комнатной квартиры 76,5 м², 12/52 этаж",Москва,ЗАО,3,21,15,10.7,76.5,35800000
"Продажа 1-комнатной квартиры 36,9 м², 12/14 этаж",Москва,ЮВАО,3,15,10,5.8,36.9,12500000
"Продажа 2-комнатной квартиры 77,4 м², 32/77 этаж",Москва,ЦАО,3,12,6,5.5,77.4,63500000
"Продажа 3-комнатной квартиры 92,2 м², 3/13 этаж",Москва,СЗАО,3,30,13,13.9,92.2,28163965
"Продажа 3-комнатной квартиры 73,4 м², 28/41 этаж",Москва,ЗАО,3,25,15,11.1,73.4,25000000
"Продажа 1-комнатной квартиры 42,9 м², 10/18 этаж",Москва,Новая Москва,3,28,14,29.2,42.9,7950000
"Продажа 2-комнатной квартиры 78 м², 38/68 этаж",Москва,ЦАО,3,12,4,5.6,78.0,69750000
"Продажа квартиры-студии 26 м², 12/22 этаж",Москва,САО,3,30,16,13.5,26.0,10200000
"Продажа 2-комнатной квартиры 51 м², 13/24 этаж",Москва,СВАО,3,27,11,12.1,51.0,15113952
"Продажа 3-комнатной квартиры 76,5 м², 12/52 этаж",Москва,ЗАО,3,21,15,10.7,76.5,35800000
"Продажа 1-комнатной квартиры 36,9 м², 12/14 этаж",Москва,ЮВАО,3,15,10,5.8,36.9,12500000
"Продажа 2-комнатной квартиры 77,4 м², 32/77 этаж",Москва,ЦАО,3,12,6,5.5,77.4,63500000
"Продажа 3-комнатной квартиры 92,2 м², 3/13 этаж",Москва,СЗАО,3,30,13,13.9,92.2,28163965
"Продажа 3-комнатной квартиры 73,4 м², 28/41 этаж",Москва,ЗАО,3,25,15,11.1,73.4,25000000
"Продажа 1-комнатной квартиры 42,9 м², 10/18 этаж",Москва,Новая Москва,3,28,14,29.2,42.9,7950000
"Продажа 2-комнатной квартиры 78 м², 38/68 этаж",Москва,ЦАО,3,12,4,5.6,78.0,69750000
"Продажа 3-комнатной квартиры 73,3 м², 2/14 этаж",Москва,Новая Москва,3,79,68,29.8,73.3,14073600
"Продажа 1-комнатной квартиры 35,9 м², 11/21 этаж",Москва,ЗАО,3,28,9,12.1,35.9,12324257
"Продажа 3-комнатной квартиры 88,1 м², 14/21 этаж",Москва,СВАО,3,18,14,7.5,88.1,40230000
"Продажа 2-комнатной квартиры 55,8 м², 18/21 этаж",Москва,САО,3,17,15,7.8,55.8,28824000
"Продажа 1-комнатной квартиры 32,5 м², 33/33 этаж",Москва,ЮАО,3,26,20,8.8,32.5,9188270
"Продажа 2-комнатной квартиры 56,2 м², 22/27 этаж",Москва,ЮВАО,3,26,17,4.3,56.2,22614880
"Продажа 2-комнатной квартиры 42,6 м², 16/32 этаж",Москва,СЗАО,3,29,20,6.7,42.6,19451442
"Продажа квартиры-студии 22,3 м², 3/52 этаж",Москва,ЮАО,3,30,22,13.9,22.3,9349988
"Продажа 3-комнатной квартиры 95,5 м², 12/21 этаж",Москва,САО,3,31,22,16.5,95.5,35000000
"Продажа 1-комнатной квартиры 29 м², 2/5 этаж",Москва,ЮАО,3,24,10,13.6,29.0,8700000
"Продажа 3-комнатной квартиры 61,5 м², 13/14 этаж",Москва,Новая Москва,3,36,31,23.1,61.5,13500000
"Продажа 1-комнатной квартиры 42,4 м², 8/12 этаж",Москва,САО,3,23,13,5.1,42.4,14700000
"Продажа 1-комнатной квартиры 40,9 м², 9/12 этаж",Москва,Новая Москва,3,32,25,23.0,40.9,12912310
"Продажа 3-комнатной квартиры 85,9 м², 13/21 этаж",Москва,Новая Москва,3,44,37,23.5,85.9,17540817
"Продажа 2-комнатной квартиры 62,3 м², 41/52 этаж",Москва,СЗАО,3,28,12,16.3,62.3,25187440
"Продажа 3-комнатной квартиры 73,1 м², 4/5 этаж",Москва,ЦАО,3,22,17,5.0,73.1,22000000
"Продажа 3-комнатной квартиры 59 м², 8/9 этаж",Москва,ЮЗАО,3,21,7,15.2,59.0,15000000
"Продажа 3-комнатной квартиры 77,8 м², 2/21 этаж",Москва,САО,3,17,15,7.8,77.8,31180760
"Продажа 2-комнатной квартиры 48,7 м², 28/33 этаж",Москва,ЮАО,3,25,7,18.5,48.7,12534211
"Продажа квартиры-студии 18,5 м², 8/10 этаж",Москва,ЗАО,3,27,6,11.6,18.5,7100000
"Продажа 2-комнатной квартиры 55 м², 34/53 этаж",Москва,СЗАО,3,28,12,16.4,55.0,20467068
"Продажа 2-комнатной квартиры 65,2 м², 7/15 этаж",Москва,Новая Москва,3,35,17,23.3,65.2,16300000
"Продажа 1-комнатной квартиры 35,5 м², 11/15 этаж",Москва,Новая Москва,3,30,13,19.9,35.5,10690000
"Продажа 1-комнатной квартиры 38 м², 6/24 этаж",Москва,ВАО,3,29,21,10.8,38.0,11800000
"Продажа 2-комнатной квартиры 46,3 м², 1/9 этаж",Москва,ЮЗАО,3,25,12,15.5,46.3,12900000
"Продажа 3-комнатной квартиры 86 м², 16/16 этаж",Москва,ЗАО,3,25,6,18.9,86.0,23450000
"Продажа 1-комнатной квартиры 37 м², 16/16 этаж",Москва,ЮВАО,3,24,18,13.4,37.0,8900000
"Продажа 1-комнатной квартиры 34,2 м², 9/9 этаж",Москва,Новая Москва,3,62,52,29.6,34.2,6155563
"Продажа 2-комнатной квартиры 56,8 м², 4/22 этаж",Москва,ЮВАО,3,18,8,13.8,56.8,16200000
"Продажа 1-комнатной квартиры 37 м², 16/16 этаж",Москва,ЮВАО,3,20,11,10.3,37.0,12000000
"Продажа 1-комнатной квартиры 32 м², 20/23 этаж",Москва,ЗАО,3,24,5,20.7,32.0,11000000
"Продажа 2-комнатной квартиры 67,5 м², 46/68 этаж",Москва,ЦАО,3,12,4,5.6,67.5,68000000
"Продажа 3-комнатной квартиры 73 м², 19/23 этаж",Москва,ЗАО,3,26,13,9.3,73.0,30600000
"Продажа квартиры-студии 23,2 м², 14/17 этаж",Москва,Новая Москва,3,28,14,20.9,23.2,7800000
"Продажа 2-комнатной квартиры 56,5 м², 4/9 этаж",Москва,Новая Москва,3,62,52,29.6,56.5,8948472
"Продажа квартиры-студии 21,5 м², 3/8 этаж",Москва,ЦАО,3,19,8,4.9,21.5,7600000
"Продажа 2-комнатной квартиры 52,7 м², 5/5 этаж",Москва,Новая Москва,0,,,15.0,52.7,5500000
"Продажа 2-комнатной квартиры 57,4 м², 2/17 этаж",Москва,СВАО,3,28,19,10.9,57.4,13412313
"Продажа квартиры-студии 32,5 м², 6/13 этаж",Москва,САО,3,22,6,6.7,32.5,13500000
"Продажа 1-комнатной квартиры 38 м², 17/17 этаж",Москва,СЗАО,3,26,8,19.4,38.0,11300000
"Продажа 2-комнатной квартиры 61,8 м², 13/14 этаж",Москва,Новая Москва,3,62,52,29.4,61.8,10189336
"Продажа 2-комнатной квартиры 58,5 м², 16/16 этаж",Москва,СВАО,3,23,7,14.7,58.5,15800000
"Продажа 4-комнатной квартиры 99,9 м², 6/36 этаж",Москва,СЗАО,3,31,21,7.9,99.9,32000000
"Продажа 1-комнатной квартиры 40,6 м², 40/54 этаж",Москва,САО,3,21,10,6.7,40.6,18504905
"Продажа 2-комнатной квартиры 47,4 м², 6/12 этаж",Москва,ЮАО,3,21,10,16.1,47.4,11000000
"Продажа 1-комнатной квартиры 31,5 м², 5/9 этаж",Москва,ЮВАО,3,24,2,5.5,31.5,9500000
"Продажа квартиры-студии 20 м², 6/15 этаж",Москва,ЮАО,3,21,9,5.9,20.0,8490000
"Продажа 1-комнатной квартиры 44,7 м², 3/24 этаж",Москва,ЗАО,3,26,20,13.5,44.7,16500000
"Продажа квартиры-студии 20,1 м², 10/24 этаж",Москва,ЮВАО,3,29,22,7.4,20.1,6106540
"Продажа 3-комнатной квартиры 71 м², 10/16 этаж",Москва,Новая Москва,3,32,26,18.6,71.0,14000000
"Продажа 1-комнатной квартиры 47,8 м², 13/23 этаж",Москва,ЮЗАО,3,29,21,9.6,47.8,12900000
"Продажа 1-комнатной квартиры 42,1 м², 9/14 этаж",Москва,Новая Москва,3,34,26,22.0,42.1,9500000
"Продажа 1-комнатной квартиры 41 м², 12/14 этаж",Москва,ЮАО,3,23,11,6.4,41.0,10500000
"Продажа 4-комнатной квартиры 95 м², 3/16 этаж",Москва,СВАО,3,30,25,12.9,95.0,28700000
"Продажа 3-комнатной квартиры 80,4 м², 23/33 этаж",Москва,СВАО,3,28,19,10.8,80.4,17266060
"Продажа квартиры-студии 23,7 м², 25/33 этаж",Москва,ЮАО,3,26,20,8.7,23.7,7066676
"Продажа 3-комнатной квартиры 78,4 м², 7/22 этаж",Москва,СВАО,3,18,16,5.2,78.4,31829224
"Продажа 2-комнатной квартиры 42 м², 4/5 этаж",Москва,ЮВАО,3,27,12,10.4,42.0,10500000
"Продажа 4-комнатной квартиры 130 м², 5/16 этаж",Москва,СЗАО,3,23,13,8.8,130.0,41800000
"Продажа 1-комнатной квартиры 47,3 м², 32/50 этаж",Москва,ЗАО,3,27,10,10.5,47.3,24990000
"Продажа 2-комнатной квартиры 55,2 м², 4/14 этаж",Москва,ЦАО,3,24,9,4.1,55.2,18990000
"Продажа 1-комнатной квартиры 36,3 м², 9/16 этаж",Москва,ЮАО,3,16,11,5.2,36.3,16421250
"Продажа квартиры-студии 22,8 м², 16/32 этаж",Москва,САО,3,22,13,12.6,22.8,8986346
"Продажа квартиры-студии 30,5 м², 19/21 этаж",Москва,СВАО,3,34,25,14.8,30.5,8900000
