Наименование объявления,Город,Район,Количество станций метро рядом,Самый длогий путь до метро,Самый короткий путь до метро,Расттояние до центра,Площадь квартиры,Цена квартиры
"Продажа квартиры-студии 26 м², 12/22 этаж",Москва,САО,3,30.0,16.0,13.5,26.0,10200000
"Продажа 2-комнатной квартиры 51 м², 13/24 этаж",Москва,СВАО,3,27.0,11.0,12.1,51.0,15068970
"Продажа 3-комнатной квартиры 76,5 м², 12/52 этаж",Москва,ЗАО,3,21.0,15.0,10.7,76.5,35800000
"Продажа 1-комнатной квартиры 36,9 м², 12/14 этаж",Москва,ЮВАО,3,15.0,10.0,5.8,36.9,12500000
"Продажа 2-комнатной квартиры 77,4 м², 32/77 этаж",Москва,ЦАО,3,12.0,6.0,5.5,77.4,63500000
"Продажа 3-комнатной квартиры 92,2 м², 3/13 этаж",Москва,СЗАО,3,30.0,13.0,13.9,92.2,27983253
"Продажа 3-комнатной квартиры 73,4 м², 28/41 этаж",Москва,ЗАО,3,25.0,15.0,11.1,73.4,25000000
"Продажа 1-комнатной квартиры 42,9 м², 10/18 этаж",Москва,Новая Москва,3,28.0,14.0,29.2,42.9,7950000
"Продажа 2-комнатной квартиры 78 м², 38/68 этаж",Москва,ЦАО,3,12.0,4.0,5.6,78.0,69750000
"Продажа 3-комнатной квартиры 73,3 м², 2/14 этаж",Москва,Новая Москва,3,79.0,68.0,29.8,73.3,14073600
"Продажа 1-комнатной квартиры 35,9 м², 11/21 этаж",Москва,ЗАО,3,28.0,9.0,12.1,35.9,12324257
"Продажа 3-комнатной квартиры 88,1 м², 14/21 этаж",Москва,СВАО,3,18.0,14.0,7.5,88.1,40230000
"Продажа 2-комнатной квартиры 55,8 м², 18/21 этаж",Москва,САО,3,17.0,15.0,7.8,55.8,28824000
"Продажа 1-комнатной квартиры 32,5 м², 33/33 этаж",Москва,ЮАО,3,26.0,20.0,8.8,32.5,9188270
"Продажа 2-комнатной квартиры 56,2 м², 22/27 этаж",Москва,ЮВАО,3,26.0,17.0,4.3,56.2,22614880
"Продажа 2-комнатной квартиры 42,6 м², 16/32 этаж",Москва,СЗАО,3,29.0,20.0,6.7,42.6,19451442
"Продажа квартиры-студии 22,3 м², 3/52 этаж",Москва,ЮАО,3,30.0,22.0,13.9,22.3,9349988
"Продажа 3-комнатной квартиры 95,5 м², 12/21 этаж",Москва,САО,3,31.0,22.0,16.5,95.5,35000000
"Продажа 1-комнатной квартиры 29 м², 2/5 этаж",Москва,ЮАО,3,24.0,10.0,13.6,29.0,8700000
"Продажа 3-комнатной квартиры 61,5 м², 13/14 этаж",Москва,Новая Москва,3,36.0,31.0,23.1,61.5,11500000
